Item,Date,Price,Percentage Change 
Soap,01/01/2015,1.474914,-0.306322945
Tampons,01/01/2015,1.968835,-0.180004927
Toothpaste,01/01/2015,1.730261,0.440742755
Butter,01/02/2015,2.94177,-1.387378663
Car Repair,01/02/2015,103.5076,1.060598449
Dog Food,01/02/2015,0.6184615,1.187058532
Eggs,01/02/2015,2.353858,-5.241650091
Kitchen Roll,01/02/2015,1.647565,-3.071381099
Mascara,01/02/2015,7.684783,-0.208633087
Soap,01/02/2015,1.466769,-0.555302164
Tampons,01/02/2015,1.932163,-1.897976516
Toothpaste,01/02/2015,1.802467,4.005954062
Butter,01/03/2015,2.845065,3.287306622
Car Repair,01/03/2015,103.8174,0.298408552
Dog Food,01/03/2015,0.6183871,-0.012031299
Eggs,01/03/2015,2.33803,-0.676980193
Kitchen Roll,01/03/2015,1.701613,3.176280388
Mascara,01/03/2015,7.911546,2.866228674
Soap,01/03/2015,1.463835,-0.200432426
Tampons,01/03/2015,1.961392,1.490217152
Toothpaste,01/03/2015,1.888954,4.578565704
Butter,01/04/2015,2.94308,-3.445088249
Car Repair,01/04/2015,103.9794,0.155800091
Dog Food,01/04/2015,0.6274152,1.438935493
Eggs,01/04/2015,2.375652,1.583649457
Kitchen Roll,01/04/2015,1.586765,-7.237870762
Mascara,01/04/2015,7.905779,-0.072946638
Soap,01/04/2015,1.439875,-1.664033336
Tampons,01/04/2015,1.972588,0.567579241
Toothpaste,01/04/2015,1.778182,-6.229508565
Butter,01/05/2015,3.098067,-5.266149748
Car Repair,01/05/2015,104.8368,0.81784259
Dog Food,01/05/2015,0.6244664,-0.472211155
Eggs,01/05/2015,2.390365,0.615512694
Kitchen Roll,01/05/2015,1.612168,1.575704269
Mascara,01/05/2015,7.850612,-0.702709547
Soap,01/05/2015,1.449264,0.647846079
Tampons,01/05/2015,1.970279,-0.117191525
Toothpaste,01/05/2015,1.733935,-2.55182576
Butter,01/06/2015,2.946907,4.879171432
Car Repair,01/06/2015,105.595,0.718026422
Dog Food,01/06/2015,0.6276078,0.500535526
Eggs,01/06/2015,2.364029,-1.114030327
Kitchen Roll,01/06/2015,1.638881,1.629953609
Mascara,01/06/2015,7.888826,0.484406679
Soap,01/06/2015,1.260215,-15.00132914
